period,date,type,volume,volume_millions,lower_ci,upper_ci,model
2018-Q%q,2018-03-31 23:59:59.999999999,historical,1452440000.0,1452.44,,,N/A
2018-Q%q,2018-06-30 23:59:59.999999999,historical,1311610000.0,1311.61,,,N/A
2018-Q%q,2018-09-30 23:59:59.999999999,historical,1304335000.0,1304.335,,,N/A
2018-Q%q,2018-12-31 23:59:59.999999999,historical,1334350000.0,1334.35,,,N/A
2019-Q%q,2019-03-31 23:59:59.999999999,historical,1645230000.0,1645.23,,,N/A
2019-Q%q,2019-06-30 23:59:59.999999999,historical,1714450000.0,1714.45,,,N/A
2019-Q%q,2019-09-30 23:59:59.999999999,historical,1801095000.0,1801.095,,,N/A
2019-Q%q,2019-12-31 23:59:59.999999999,historical,1702035000.0,1702.035,,,N/A
2020-Q%q,2020-03-31 23:59:59.999999999,historical,2892520000.0,2892.52,,,N/A
2020-Q%q,2020-06-30 23:59:59.999999999,historical,2845860000.0,2845.86,,,N/A
2020-Q%q,2020-09-30 23:59:59.999999999,historical,2812830000.0,2812.83,,,N/A
2020-Q%q,2020-12-31 23:59:59.999999999,historical,2762215000.0,2762.215,,,N/A
2021-Q%q,2021-03-31 23:59:59.999999999,historical,208540000.0,208.54,,,N/A
2021-Q%q,2021-06-30 23:59:59.999999999,historical,207205000.0,207.205,,,N/A
2021-Q%q,2021-09-30 23:59:59.999999999,historical,222775000.0,222.775,,,N/A
2021-Q%q,2021-12-31 23:59:59.999999999,historical,205105000.0,205.105,,,N/A
2022-Q%q,2022-03-31 23:59:59.999999999,forecast,1526412187.5,1526.4121875,-367484586.23453045,3420308961.2345304,
2022-Q%q,2022-06-30 23:59:59.999999999,forecast,1526412187.5,1526.4121875,-367484586.23453045,3420308961.2345304,
2022-Q%q,2022-09-30 23:59:59.999999999,forecast,1526412187.5,1526.4121875,-367484586.23453045,3420308961.2345304,
2022-Q%q,2022-12-31 23:59:59.999999999,forecast,1526412187.5,1526.4121875,-367484586.23453045,3420308961.2345304,
2023-Q%q,2023-03-31 23:59:59.999999999,forecast,1526412187.5,1526.4121875,-367484586.23453045,3420308961.2345304,
2023-Q%q,2023-06-30 23:59:59.999999999,forecast,1526412187.5,1526.4121875,-367484586.23453045,3420308961.2345304,
2023-Q%q,2023-09-30 23:59:59.999999999,forecast,1526412187.5,1526.4121875,-367484586.23453045,3420308961.2345304,
2023-Q%q,2023-12-31 23:59:59.999999999,forecast,1526412187.5,1526.4121875,-367484586.23453045,3420308961.2345304,
